query,units,cards,est_cost,actual_ms,join_order
1b,calibrated,default,40681.05,73.218,(((mc (mi_idx it)) ct) t)
1b,calibrated,injected,38882.55,74.184,(((mc (mi_idx it)) ct) t)
2c,calibrated,default,66269.37,163.978,(((mc (mk k)) cn) t)
2c,calibrated,injected,68443.9,101.453,(((mk (mc cn)) k) t)
3c,calibrated,default,247267.07,416.014,(mi ((mk k) t))
3c,calibrated,injected,248344.32,410.813,(mi ((mk k) t))
4b,calibrated,default,50072.51,81.423,(((mk (mi_idx it)) k) t)
4b,calibrated,injected,50248.19,82.056,(((mk (mi_idx it)) k) t)
5a,calibrated,default,246330.54,49.504,(((mi (mc ct)) t) it)
5a,calibrated,injected,245874.28,48.571,(((mi (mc ct)) it) t)
6e,calibrated,default,399603.23,599.678,((ci ((mk k) t)) n)
6e,calibrated,injected,399620.11,597.103,((ci ((mk k) t)) n)
7b,calibrated,default,435553.53,773.759,((((ci (an (pi it))) (ml lt)) n) t)
7b,calibrated,injected,436322.98,721.144,(((ci ((an (pi n)) it)) (ml lt)) t)
8b,calibrated,default,410305.98,564.468,((((an ((ci mc) rt)) n) cn) t)
8b,calibrated,injected,413259.94,571.117,(((an (((ci mc) rt) t)) n) cn)
9c,calibrated,default,438196.6,1075.543,(an (((mc (((ci rt) n) chn)) cn) t))
9c,calibrated,injected,480766.9,989.237,(an (((((mc (ci n)) cn) rt) chn) t))
10a,calibrated,default,494015.17,680.257,(((((mc (ci rt)) cn) t) chn) ct)
10a,calibrated,injected,498284.44,630.372,(((((ci (mc cn)) rt) t) chn) ct)
11d,calibrated,default,66587.06,161.767,(((((mc ((mk k) t)) ct) ml) cn) lt)
11d,calibrated,injected,68883.85,118.083,((((mc (((mk k) ml) t)) ct) cn) lt)
12a,calibrated,default,243442.95,513.562,((((mc ((mi it1) (mi_idx it2))) ct) cn) t)
12a,calibrated,injected,244001.36,468.996,((((mi ((mc (mi_idx it2)) ct)) it1) cn) t)
13c,calibrated,default,244146.7,1033.251,((((mc (((mi it2) (miidx it)) t)) kt) cn) ct)
13c,calibrated,injected,287857.9,706.52,((mi (((((mc cn) ct) (miidx it)) t) kt)) it2)
14c,calibrated,default,257369.5,834.333,((mk ((((mi_idx it2) (mi it1)) t) kt)) k)
14c,calibrated,injected,261516.57,491.471,((((mi ((mi_idx it2) (mk k))) it1) t) kt)
15d,calibrated,default,298500.29,385.994,((mk ((((mc (at (mi it1))) cn) t) ct)) k)
15d,calibrated,injected,301546.75,386.43,((mk ((((mc ((mi at) it1)) cn) t) ct)) k)
16a,calibrated,default,440185.98,842.219,(an ((ci ((mc ((mk k) t)) cn)) n))
16a,calibrated,injected,443721.64,809.055,(an ((ci ((mc ((mk k) t)) cn)) n))
17e,calibrated,default,426162.06,1934.665,((ci ((mc ((mk k) t)) cn)) n)
17e,calibrated,injected,455540.52,1250.612,((ci ((mc ((mk k) t)) cn)) n)
18b,calibrated,default,582432.6,1304.177,(((ci ((mi it1) (mi_idx it2))) n) t)
18b,calibrated,injected,582718.27,1264.668,((((mi (ci (mi_idx it2))) it1) n) t)
19a,calibrated,default,661238.92,1375.46,(an (((((mc ((ci rt) (mi it))) cn) chn) t) n))
19a,calibrated,injected,697137.26,1265.19,(an ((((((mi (mc (ci rt))) n) cn) t) chn) it))
20c,calibrated,default,401678.33,887.143,((((ci (((mk k) t) kt)) ((cc cct1) cct2)) chn) n)
20c,calibrated,injected,406287.08,855.849,(((ci (((((mk k) (cc cct1)) t) kt) cct2)) chn) n)
21c,calibrated,default,273437.85,564.622,((mi ((((mc (mk k)) ct) cn) t)) (ml lt))
21c,calibrated,injected,273795.33,532.317,(mi (((((mc (mk k)) ct) (ml lt)) cn) t))
22d,calibrated,default,283901.45,1110.009,(((mc ((mk ((((mi_idx it2) (mi it1)) t) kt)) k)) cn) ct)
22d,calibrated,injected,290262.38,623.058,(((mc ((((mi ((mi_idx it2) (mk k))) it1) t) kt)) cn) ct)
23a,calibrated,default,339816.39,495.134,((((mk ((((mc (mi it1)) cn) t) kt)) (cc cct1)) ct) k)
23a,calibrated,injected,339889.36,472.472,((mk (((((mc ((mi (cc cct1)) t)) cn) ct) it1) kt)) k)
24a,calibrated,default,692541.94,1750.919,((mk (an ((mc (((((ci (mi it)) chn) rt) n) t)) cn))) k)
24a,calibrated,injected,695101.86,1383.502,((mc (((mi (an (((ci ((mk k) t)) rt) chn))) it) n)) cn)
25b,calibrated,default,620320.14,1183.116,(((mk (ci (((mi_idx it2) (mi it1)) t))) k) n)
25b,calibrated,injected,623375.72,1114.195,(((mi_idx (ci (((mi (mk k)) it1) t))) it2) n)
26b,calibrated,default,411941.38,718.027,(((ci ((mk ((((mi_idx ((cc cct2) cct1)) it2) t) kt)) k)) chn) n)
26b,calibrated,injected,414119.83,715.966,(((ci (((((mk ((mi_idx (cc cct1)) it2)) k) t) kt) cct2)) chn) n)
27c,calibrated,default,185852.68,6153.289,((((((((cc (((mk mc) k) ct)) cct1) cct2) cn) mi) ml) t) lt)
27c,calibrated,injected,278259.65,536.876,(((mi (((cc (((mc ((mk k) t)) ct) cn)) cct2) cct1)) ml) lt)
31c,calibrated,default,651328.36,1633.579,((((mk ((mc (ci ((mi_idx it2) (mi it1)))) cn)) k) n) t)
31c,calibrated,injected,657821.18,1416.065,((mi (((mk (((mi_idx (ci (mc cn))) it2) n)) k) t)) it1)
32a,calibrated,default,40353.17,76.568,(((((mk k) t1) ml) lt) t2)
32a,calibrated,injected,40310.37,74.954,(((((mk k) t1) ml) lt) t2)
33a,calibrated,default,78231.05,164.806,((((mc2 (((mc1 (((mi_idx2 (((mi_idx1 it1) ml) lt)) t2) kt2)) kt1) it2)) t1) cn2) cn1)
33a,calibrated,injected,78406.44,125.639,((((((mc1 ((mc2 (mi_idx1 ((mi_idx2 (ml lt)) it2))) cn2)) t2) (kt2 kt1)) t1) it1) cn1)
